ZIPCODE,Total Renter Households,Renter Median Household Income,Renter Families in Poverty,Renter Households less than 10k,Renter Households 10K to 19999,Renter Households 20K to 34999E,Renter Households 35K to 49999,Renter Households 50K to 74999,Renter Households 75K to 99999,Renter Households 100KorMoreE
91204,5700,42353,903,471,1097,818,887,982,551,894
91205,12138,37572,1390,913,2759,2079,1435,2041,1280,1631
91206,8696,49327,870,533,1488,1238,1152,1411,916,1958
91208,2071,75600,114,75,196,218,156,366,399,661
91214,2386,64138,107,93,291,280,269,436,309,708
91302,2841,70218,228,333,134,259,323,525,170,1097
91303,7457,47405,975,406,902,1393,1168,1317,962,1309
91304,8482,49177,1088,511,823,1554,1460,1954,960,1220
91306,6313,44315,926,349,936,1216,930,1341,737,804
91307,1358,103667,13,34,104,120,84,244,86,686
91311,4878,70458,211,191,304,767,650,709,907,1350
91316,6179,54025,581,400,831,904,696,1060,732,1556
91321,4967,48031,704,298,363,1057,875,1103,475,796
91324,4806,50417,449,630,653,497,600,1033,425,968
91325,6128,42336,484,751,583,1233,867,999,719,976
91326,3504,71552,255,334,309,348,342,597,483,1091
91330,0,NA,0,0,0,0,0,0,0,0
91331,8971,37446,2172,669,1662,1770,1692,1554,901,723
91335,12650,42690,1665,774,2149,2262,2088,2296,1049,2032
91340,4021,37453,703,264,659,1010,568,533,480,507
91342,8645,48663,1357,569,988,1497,1414,1812,1061,1304
91343,8798,39552,1984,690,1394,1776,1435,1575,876,1052
91344,4192,60804,169,294,254,637,591,937,572,907
91345,1393,46607,120,129,163,265,142,170,204,320
91352,5732,37675,1215,446,956,1332,874,1073,522,529
91356,5125,49861,398,444,626,736,760,1069,578,912
91364,3475,66394,138,378,214,408,280,691,345,1159
91367,8879,70113,397,614,833,870,695,1797,1410,2660
91401,9970,40840,1405,757,1599,1953,1604,1733,882,1442
91402,13070,32506,2976,1040,2662,3246,2169,1883,1036,1034
91403,6411,68137,62,283,724,639,795,1020,920,2030
91405,13221,37136,1982,960,2114,3100,2584,2280,1239,944
91406,10960,43296,1570,564,1805,1881,2049,2242,1058,1361
91411,7083,45043,869,255,1235,1271,1126,1545,782,869
91423,9275,63704,196,478,553,1228,1150,2024,1267,2575
91436,1183,86604,50,62,101,120,34,192,256,418
91501,5328,53557,420,307,722,730,745,904,732,1188
91504,4441,54740,286,305,411,511,731,912,613,958
91505,6825,66820,190,691,507,778,768,938,1026,2117
91506,3424,58125,164,330,256,499,395,588,394,962
91522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91601,13526,46925,768,1315,1786,2157,1853,2749,1483,2183
91602,6319,66303,132,441,440,729,765,1271,863,1810
91604,8011,73368,106,555,696,953,555,1317,1259,2676
91605,9975,35771,1729,1037,1738,2108,1518,1682,1011,881
91606,10714,37305,1294,1021,2009,2020,1646,1892,970,1156
91607,9576,48190,407,549,1117,1745,1495,1541,978,2151
91608,0,NA,0,0,0,0,0,0,0,0
91801,12677,48627,1093,1070,1497,2216,1740,2462,1154,2538
91803,5244,46156,551,341,828,909,767,857,610,932
