"census_tract","ZIP","federallyBackedLoans","FannieMaeOwned","GinnieMaeOwned","FreddieMacOwned","FarmerMacOwned"
"06001410400","94603",0.468923076923077,0.486876640419947,0.199475065616798,0.313648293963255,0
"06065043220","92591",0.549512987012987,0.395864106351551,0.364844903988183,0.239290989660266,0
"06065043220","92592",0.549512987012987,0.395864106351551,0.364844903988183,0.239290989660266,0
"06001403800","94610",0.415314730694354,0.6125,0.0171875,0.3703125,0
"06071004601","92407",0.474989995998399,0.393428812131424,0.363942712721146,0.24262847514743,0
"06071004601","92405",0.474989995998399,0.393428812131424,0.363942712721146,0.24262847514743,0
"06001409700","94603",0.421143847487002,0.475308641975309,0.255144032921811,0.269547325102881,0
"06001409700","94621",0.421143847487002,0.475308641975309,0.255144032921811,0.269547325102881,0
"06001409700","94605",0.421143847487002,0.475308641975309,0.255144032921811,0.269547325102881,0
"06071009908","92392",0.513978494623656,0.355648535564854,0.456066945606695,0.188284518828452,0
"06065042619","92571",0.531476323119777,0.319706498951782,0.49685534591195,0.183438155136268,0
"06019001409","93727",0.556982343499197,0.426512968299712,0.337175792507205,0.236311239193084,0
"06087122201","95003",0.424279433317049,0.610823258491652,0.0356937248128958,0.353483016695452,0
"06087122201","95076",0.424279433317049,0.610823258491652,0.0356937248128958,0.353483016695452,0
"06067005801","95608",0.50051993067591,0.549861495844875,0.150277008310249,0.299861495844875,0
"06067005801","95821",0.50051993067591,0.549861495844875,0.150277008310249,0.299861495844875,0
"06067005801","95864",0.50051993067591,0.549861495844875,0.150277008310249,0.299861495844875,0
"06019004100","93723",0.432795698924731,0.447204968944099,0.198757763975155,0.354037267080745,0
"06019004100","93606",0.432795698924731,0.447204968944099,0.198757763975155,0.354037267080745,0
"06019004100","93630",0.432795698924731,0.447204968944099,0.198757763975155,0.354037267080745,0
"06065043007","92530",0.576370565816476,0.413021363173957,0.349949135300102,0.237029501525941,0
"06065043007","92883",0.576370565816476,0.413021363173957,0.349949135300102,0.237029501525941,0
"06067003600","95820",0.482295482295482,0.531645569620253,0.232911392405063,0.235443037974684,0
"06037555102","90715",0.460656990068755,0.545605306799337,0.170812603648425,0.283582089552239,0
"06037555102","90716",0.460656990068755,0.545605306799337,0.170812603648425,0.283582089552239,0
"06065043008","92530",0.540577096483318,0.40116763969975,0.361134278565471,0.237698081734779,0
"06065042516","92553",0.448979591836735,0.395454545454545,0.370454545454545,0.234090909090909,0
"06067006004","95821",0.480263157894737,0.503805175038052,0.171993911719939,0.324200913242009,0
"06065042733","92532",0.567546822229045,0.276440357046254,0.539356234784961,0.184203408168785,0
"06065042733","92587",0.567546822229045,0.276440357046254,0.539356234784961,0.184203408168785,0
"06065042733","92584",0.567546822229045,0.276440357046254,0.539356234784961,0.184203408168785,0
"06071007404","92346",0.485327313769752,0.395348837209302,0.381395348837209,0.223255813953488,0
"06037550202","90650",0.555898226676947,0.441054091539528,0.282940360610264,0.276005547850208,0
"06065043304","92544",0.491144222659545,0.372066399542072,0.427017744705209,0.200915855752719,0
"06065043304","92543",0.491144222659545,0.372066399542072,0.427017744705209,0.200915855752719,0
"06067003502","95822",0.516082916368835,0.54016620498615,0.18005540166205,0.279778393351801,0
"06065041913","92882",0.555452003727866,0.529362416107383,0.164429530201342,0.306208053691275,0
"06019004002","93630",0.484921592279855,0.440298507462687,0.303482587064677,0.256218905472637,0
"06065042740","92586",0.500436681222707,0.333333333333333,0.431064572425829,0.235602094240838,0
"06065042740","92585",0.500436681222707,0.333333333333333,0.431064572425829,0.235602094240838,0
"06071009709","92308",0.428312159709619,0.376271186440678,0.433898305084746,0.189830508474576,0
"06071000203","91763",0.559273422562142,0.495726495726496,0.227350427350427,0.276923076923077,0
"06013339002","94596",0.489477257298031,0.635228848821082,0.0568654646324549,0.307905686546463,0
"06013339002","94597",0.489477257298031,0.635228848821082,0.0568654646324549,0.307905686546463,0
"06065043254","92592",0.554074074074074,0.374331550802139,0.401069518716578,0.224598930481283,0
"06065043254","92590",0.554074074074074,0.374331550802139,0.401069518716578,0.224598930481283,0
"06065043254","92028",0.554074074074074,0.374331550802139,0.401069518716578,0.224598930481283,0
"06071010412","92284",0.424571140262361,0.35650623885918,0.408199643493761,0.219845513963161,0.0154486036838978
"06071010412","92286",0.424571140262361,0.35650623885918,0.408199643493761,0.219845513963161,0.0154486036838978
"06037900803","93534",0.476896887159533,0.36511983681795,0.454360020397756,0.180520142784294,0
"06001409500","94621",0.44281045751634,0.44280442804428,0.232472324723247,0.324723247232472,0
"06067009622","95758",0.577262693156733,0.515615041427661,0.172721478648821,0.311663479923518,0
"06065043403","92543",0.461538461538462,0.376068376068376,0.442307692307692,0.181623931623932,0
"06071011401","92386",0.574766355140187,0.53929539295393,0.144173441734417,0.316531165311653,0
"06071011401","92314",0.574766355140187,0.53929539295393,0.144173441734417,0.316531165311653,0
"06071011401","92315",0.574766355140187,0.53929539295393,0.144173441734417,0.316531165311653,0
"06067004402","95820",0.425076452599388,0.47242206235012,0.299760191846523,0.227817745803357,0
"06071002025","91737",0.493107769423559,0.490470139771283,0.172808132147395,0.336721728081321,0
"06071002025","91701",0.493107769423559,0.490470139771283,0.172808132147395,0.336721728081321,0
"06065043317","92545",0.554723127035831,0.360540223135643,0.458015267175573,0.181444509688785,0
"06065043317","92543",0.554723127035831,0.360540223135643,0.458015267175573,0.181444509688785,0
"06073003003","92114",0.465641518500721,0.413828689370485,0.342621259029928,0.243550051599587,0
"06073003003","91945",0.465641518500721,0.413828689370485,0.342621259029928,0.243550051599587,0
